"uf","legenda","descricao","count","sum"
"RR","OFLSec","Outras formações lenhosas secundárias",611,5773.885200000005
"RS","OFLSec","Outras formações lenhosas secundárias",9,306.66679999999997
"SC","OFLSec","Outras formações lenhosas secundárias",18,177.37820000000002
"SE","OFLSec","Outras formações lenhosas secundárias",51,305.107
"SP","OFLSec","Outras formações lenhosas secundárias",525,11720.256400000006
"TO","OFLSec","Outras formações lenhosas secundárias",2544,89121.97309999996
"AC","Ref","Reflorestamento",17,117.6428
"AL","Ref","Reflorestamento",97,6523.8694000000005
"AM","Ref","Reflorestamento",176,2625.3674999999994
"AP","Ref","Reflorestamento",5478,160825.41260000013
"BA","Ref","Reflorestamento",9039,782122.6795000003
"DF","Ref","Reflorestamento",256,9337.322800000002
"ES","Ref","Reflorestamento",7066,282174.5904999997
"GO","Ref","Reflorestamento",7655,221586.48539999995
"MA","Ref","Reflorestamento",4691,308748.8381999999
"MG","Ref","Reflorestamento",64019,2575581.6232000086
"MS","Ref","Reflorestamento",5763,990866.5437999973
"MT","Ref","Reflorestamento",3857,234175.5413
"PA","Ref","Reflorestamento",6622,252898.72599999973
"PB","Ref","Reflorestamento",18,5859.3723
"PE","Ref","Reflorestamento",27,5312.400799999999
"PI","Ref","Reflorestamento",527,40589.16139999998
"PR","Ref","Reflorestamento",48393,1315620.0873999915
"RJ","Ref","Reflorestamento",745,22250.286699999997
"RN","Ref","Reflorestamento",1,44.4382
"RO","Ref","Reflorestamento",124,3667.0202
"RR","Ref","Reflorestamento",1278,36597.42419999998
"RS","Ref","Reflorestamento",40240,1181332.7773000023
"SC","Ref","Reflorestamento",50921,1162081.2671999922
"SE","Ref","Reflorestamento",63,4520.3315
"SP","Ref","Reflorestamento",35212,1311955.429400004
"TO","Ref","Reflorestamento",1807,139066.9703
"AC","Res","Reservatório",368,2336.453299999999
"AL","Res","Reservatório",611,9377.4146
"AM","Res","Reservatório",7384,313605.72170000046
"AP","Res","Reservatório",428,8086.799000000003
"BA","Res","Reservatório",5187,337681.1473000001
"CE","Res","Reservatório",10000,126972.25399999997
"DF","Res","Reservatório",264,6284.405000000002
"ES","Res","Reservatório",131,2949.4160999999995
"GO","Res","Reservatório",6733,328773.90069999994
"MA","Res","Reservatório",1248,49529.41950000001
"MG","Res","Reservatório",7281,570727.6051999999
"MS","Res","Reservatório",1157,246989.94380000012
"MT","Res","Reservatório",3883,77639.58670000004
"PA","Res","Reservatório",9405,323188.3535
"PB","Res","Reservatório",4881,37782.5041
"PE","Res","Reservatório",2318,71999.84030000004
"PI","Res","Reservatório",1440,41266.8209
"PR","Res","Reservatório",768,230738.56630000006
"RJ","Res","Reservatório",194,15844.742100000003
"RN","Res","Reservatório",4667,50365.94389999997
"RO","Res","Reservatório",4442,124565.1156
"RR","Res","Reservatório",380,8918.175299999999
"RS","Res","Reservatório",13103,226117.7591999999
"SC","Res","Reservatório",840,39895.077299999975
"SE","Res","Reservatório",144,5627.734299999999
"SP","Res","Reservatório",3225,545805.4151000002
"TO","Res","Reservatório",2826,149317.66720000008
"AC","S","Área construída",1223,17645.04430000001
"AL","S","Área construída",934,33449.74239999998
"AM","S","Área construída",3358,60822.66990000003
"AP","S","Área construída",475,14161.652900000005
"BA","S","Área construída",5732,197800.82440000022
"CE","S","Área construída",4128,145300.3514999999
"DF","S","Área construída",1554,82450.60799999992
"ES","S","Área construída",1315,62730.446399999964
"GO","S","Área construída",6764,225623.20679999996
"MA","S","Área construída",8568,150587.95599999998
"MG","S","Área construída",12726,459788.6907999994
"MS","S","Área construída",1992,96950.85520000002
"MT","S","Área construída",4727,138936.65500000003
"PA","S","Área construída",8752,160947.0316
"PB","S","Área construída",1277,51088.01320000001
"PE","S","Área construída",1974,97743.8248
"PI","S","Área construída",3226,74422.08739999996
"PR","S","Área construída",5822,290987.3711999997
"RJ","S","Área construída",4121,253672.3257999994
"RN","S","Área construída",1973,57358.54180000002
"RO","S","Área construída",2032,54977.36439999998
"RR","S","Área construída",468,17283.755399999995
"RS","S","Área construída",6792,292837.89839999925
"SC","S","Área construída",4814,204618.27099999972
"SE","S","Área construída",722,23265.385600000005
"SP","S","Área construída",19268,906928.4693
"TO","S","Área construída",2416,60744.50059999994
"AL","SE","Solo Exposto",5,47.8493
"AM","SE","Solo Exposto",4,77.5116
"AP","SE","Solo Exposto",22,183.7025
"BA","SE","Solo Exposto",314,52196.47339999997
"CE","SE","Solo Exposto",298,3416.8762000000006
"ES","SE","Solo Exposto",36,550.3448999999999
"MA","SE","Solo Exposto",2,6.0464
"MG","SE","Solo Exposto",59,725.2958
"MT","SE","Solo Exposto",165,9371.389899999998
"PA","SE","Solo Exposto",91,702.6694
"PB","SE","Solo Exposto",24,510.87069999999994
"PE","SE","Solo Exposto",93,1470.6611
"PI","SE","Solo Exposto",86,135810.5246
"PR","SE","Solo Exposto",12,151.1398
"RJ","SE","Solo Exposto",59,1743.9240999999997
"RN","SE","Solo Exposto",134,2563.9252
"RO","SE","Solo Exposto",39,967.5199
"RR","SE","Solo Exposto",5,44.3296
"RS","SE","Solo Exposto",159,7285.551800000001
"SC","SE","Solo Exposto",34,355.1359
"SE","SE","Solo Exposto",10,86.009
"SP","SE","Solo Exposto",52,652.1981000000001
"TO","SE","Solo Exposto",4,14.874
